INFO: 26-10-2022 18:13:59 __init__(111) -- This is drone log from Drogno_1
INFO: 26-10-2022 18:15:12 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.71 1.47 2.66	yaw: 78.94	msg/s 0.0
INFO: 26-10-2022 18:15:14 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 1.71 1.46 2.66	yaw: 77.62	msg/s 0.0
INFO: 26-10-2022 18:15:15 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 1.70 1.47 2.65	yaw: 78.00	msg/s 0.0
INFO: 26-10-2022 18:15:16 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.69 1.47 2.64	yaw: 77.75	msg/s 0.0
INFO: 26-10-2022 18:15:17 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.70 1.47 2.65	yaw: 78.69	msg/s 0.0
INFO: 26-10-2022 18:15:18 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.71 1.47 2.66	yaw: 78.94	msg/s 0.0
INFO: 26-10-2022 18:15:19 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.71 1.47 2.66	yaw: 79.25	msg/s 0.0
INFO: 26-10-2022 18:15:20 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.001 0.001                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.70 1.46 2.65	yaw: 76.25	msg/s 0.0
INFO: 26-10-2022 18:15:21 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.71 1.47 2.66	yaw: 79.25	msg/s 0.0
INFO: 26-10-2022 18:15:22 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.70 1.47 2.65	yaw: 78.25	msg/s 0.0
INFO: 26-10-2022 18:15:23 log_status(397) -- Drogno_1: ready	battery: 4.2                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.71 1.47 2.66	yaw: 79.44	msg/s 0.0
INFO: 26-10-2022 18:15:25 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.71 1.46 2.66	yaw: 79.25	msg/s 0.0
INFO: 26-10-2022 18:15:26 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.70 1.47 2.65	yaw: 78.00	msg/s 0.0
INFO: 26-10-2022 18:15:27 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.71 1.47 2.66	yaw: 79.44	msg/s 0.0
INFO: 26-10-2022 18:15:28 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.71 1.47 2.66	yaw: 79.69	msg/s 0.0
INFO: 26-10-2022 18:15:29 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 1.70 1.47 2.65	yaw: 77.62	msg/s 0.0
INFO: 26-10-2022 18:15:30 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 1.71 1.46 2.66	yaw: 80.19	msg/s 0.0
INFO: 26-10-2022 18:15:31 log_status(397) -- Drogno_1: ready	battery: 4.2                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 1.70 1.47 2.65	yaw: 77.88	msg/s 0.0
INFO: 26-10-2022 18:15:32 log_status(397) -- Drogno_1: ready	battery: 4.2                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 1.70 1.47 2.65	yaw: 77.25	msg/s 0.0
