INFO: 28-10-2022 20:01:24 __init__(112) -- This is drone log from Drogno_3
INFO: 28-10-2022 20:02:32 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.135 0.135 0.004                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.04 -1.30 -0.11	yaw: 0.02	msg/s 1.8
INFO: 28-10-2022 20:02:33 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.252 0.252 0.005                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.09 -2.34 -0.18	yaw: 0.01	msg/s 1.8
INFO: 28-10-2022 20:02:34 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.38 0.38 0.006                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.13 -3.44 -0.26	yaw: 0.02	msg/s 2.7
INFO: 28-10-2022 20:02:35 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.575 0.575 0.007                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.19 -5.04 -0.38	yaw: 0.02	msg/s 0.9
INFO: 28-10-2022 20:02:36 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.774 0.774 0.008                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.23 -6.61 -0.49	yaw: 0.02	msg/s 0.9
INFO: 28-10-2022 20:02:37 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.061 1.061 0.01                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.29 -8.77 -0.65	yaw: 0.01	msg/s 0.9
INFO: 28-10-2022 20:02:38 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.337 1.337 0.011                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.35 -10.79 -0.80	yaw: 0.00	msg/s 0.0
INFO: 28-10-2022 20:02:39 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.725 1.725 0.012                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.42 -13.51 -0.99	yaw: -0.00	msg/s 2.7
INFO: 28-10-2022 20:02:40 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.094 2.094 0.013                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.49 -16.02 -1.17	yaw: 0.00	msg/s 1.8
INFO: 28-10-2022 20:02:42 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.596 2.596 0.014                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.56 -19.28 -1.41	yaw: -0.00	msg/s 1.8
