INFO: 27-10-2022 19:54:02 __init__(112) -- This is drone log from Drogno_3
INFO: 27-10-2022 19:55:41 log_status(399) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.025 0.025 0.002                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -0.13 -0.24 -0.00	yaw: 0.03	msg/s 0.0
INFO: 27-10-2022 19:55:42 log_status(399) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.082 0.082 0.003                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -0.40 -0.76 -0.00	yaw: 0.02	msg/s 0.0
INFO: 27-10-2022 19:55:43 log_status(399) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.156 0.156 0.004                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -0.74 -1.41 -0.01	yaw: 0.02	msg/s 0.0
INFO: 27-10-2022 19:55:44 log_status(399) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.281 0.281 0.005                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -1.29 -2.46 -0.01	yaw: 0.03	msg/s 0.0
INFO: 27-10-2022 19:55:45 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 0.417 0.417 0.006                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -1.88 -3.56 -0.02	yaw: 0.04	msg/s 0.0
INFO: 27-10-2022 19:55:46 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 0.621 0.621 0.008                    	batterySag: 0.5	link quality: 61	flight time: 0s                    	pos -2.73 -5.15 -0.03	yaw: 0.05	msg/s 0.0
INFO: 27-10-2022 19:55:47 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 0.829 0.829 0.009                    	batterySag: 0.5	link quality: 62	flight time: 0s                    	pos -3.58 -6.72 -0.04	yaw: 0.05	msg/s 0.0
INFO: 27-10-2022 19:55:48 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 1.126 1.126 0.01                    	batterySag: 0.5	link quality: 61	flight time: 0s                    	pos -4.75 -8.87 -0.06	yaw: 0.06	msg/s 0.0
INFO: 27-10-2022 19:55:49 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 1.414 1.414 0.011                    	batterySag: 0.5	link quality: 61	flight time: 0s                    	pos -5.86 -10.89 -0.07	yaw: 0.06	msg/s 0.0
INFO: 27-10-2022 19:55:51 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 1.815 1.815 0.012                    	batterySag: 0.5	link quality: 61	flight time: 0s                    	pos -7.37 -13.61 -0.09	yaw: 0.06	msg/s 0.0
