INFO: 26-10-2022 17:41:27 __init__(111) -- This is drone log from Drogno_6
INFO: 26-10-2022 17:43:13 log_status(397) -- Drogno_6: ready	battery: 3.65                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.58 1.44 2.66	yaw: -152.62	msg/s 0.0
INFO: 26-10-2022 17:43:14 log_status(397) -- Drogno_6: ready	battery: 3.65                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.58 1.44 2.66	yaw: -152.38	msg/s 0.0
INFO: 26-10-2022 17:43:15 log_status(397) -- Drogno_6: ready	battery: 3.84                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos 1.21 1.40 2.42	yaw: -144.12	msg/s 0.0
INFO: 26-10-2022 17:43:17 log_status(397) -- Drogno_6: ready	battery: 3.88                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos 1.46 1.43 2.58	yaw: -139.00	msg/s 0.0
INFO: 26-10-2022 17:43:18 log_status(397) -- Drogno_6: ready	battery: 3.88                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.48 1.43 2.59	yaw: -138.25	msg/s 0.0
INFO: 26-10-2022 17:43:19 log_status(397) -- Drogno_6: ready	battery: 3.88                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 1.45 1.39 2.55	yaw: -163.12	msg/s 0.0
INFO: 26-10-2022 17:43:20 log_status(397) -- Drogno_6: ready	battery: 3.89                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.75 1.46 2.76	yaw: 113.19	msg/s 0.0
INFO: 26-10-2022 17:43:21 log_status(397) -- Drogno_6: ready	battery: 3.89                    	kalman var: 0.001 0.001 0.001                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos 1.87 1.58 2.80	yaw: 107.25	msg/s 0.0
INFO: 26-10-2022 17:43:22 log_status(397) -- Drogno_6: ready	battery: 3.9                    	kalman var: 0.001 0.001 0.001                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos 1.54 1.46 2.62	yaw: 127.12	msg/s 0.0
INFO: 26-10-2022 17:43:23 log_status(397) -- Drogno_6: ready	battery: 3.9                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos 1.60 1.44 2.62	yaw: 125.38	msg/s 0.0
INFO: 26-10-2022 17:43:24 log_status(397) -- Drogno_6: out of BOX	battery: 3.9                    	kalman var: 0.002 0.002 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -4.87 1.14 1.87	yaw: 73.12	msg/s 0.0
INFO: 26-10-2022 17:43:25 log_status(397) -- Drogno_6: out of BOX	battery: 3.9                    	kalman var: 0.002 0.003 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -9.31 0.35 -6.26	yaw: 129.50	msg/s 0.0
INFO: 26-10-2022 17:43:26 log_status(397) -- Drogno_6: out of BOX	battery: 3.9                    	kalman var: 0.005 0.006 0.002                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 0.80 1.53 4.38	yaw: 75.44	msg/s 0.0
INFO: 26-10-2022 17:43:28 log_status(397) -- Drogno_6: ready	battery: 3.9                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -1.26 1.26 0.30	yaw: 41.91	msg/s 0.0
INFO: 26-10-2022 17:43:29 log_status(397) -- Drogno_6: out of BOX	battery: 3.9                    	kalman var: 0.002 0.002 0.003                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -4.80 3.19 -1.67	yaw: 35.38	msg/s 0.0
