INFO: 28-10-2022 22:02:29 __init__(112) -- This is drone log from Drogno_3
INFO: 28-10-2022 22:02:32 log_status(191) -- Logger started
INFO: 28-10-2022 22:04:03 log_status(195) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.028 0.028 0.002                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.02 -0.29 -0.01	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 22:04:04 log_status(195) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.087 0.087 0.003                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.08 -0.88 -0.02	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 22:04:06 log_status(195) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.164 0.164 0.004                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.17 -1.60 -0.04	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 22:04:07 log_status(195) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.291 0.291 0.005                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.31 -2.75 -0.07	yaw: 0.05	msg/s 0.0
INFO: 28-10-2022 22:04:08 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.43 0.43 0.006                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.47 -3.95 -0.11	yaw: 0.06	msg/s 0.0
INFO: 28-10-2022 22:04:09 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.637 0.637 0.008                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.70 -5.67 -0.15	yaw: 0.06	msg/s 0.0
INFO: 28-10-2022 22:04:10 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.848 0.848 0.009                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.95 -7.36 -0.20	yaw: 0.06	msg/s 0.0
INFO: 28-10-2022 22:04:11 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.148 1.148 0.01                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.29 -9.68 -0.28	yaw: 0.07	msg/s 0.0
INFO: 28-10-2022 22:04:12 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.441 1.441 0.011                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.63 -11.87 -0.34	yaw: 0.08	msg/s 0.0
INFO: 28-10-2022 22:04:13 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.847 1.847 0.012                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 2.08 -14.79 -0.44	yaw: 0.10	msg/s 0.0
INFO: 28-10-2022 22:04:14 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.232 2.232 0.014                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 2.50 -17.48 -0.52	yaw: 0.10	msg/s 0.0
INFO: 28-10-2022 22:04:15 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.75 2.75 0.015                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 3.06 -20.98 -0.63	yaw: 0.10	msg/s 0.0
